gender;f;a0;a1;a2;p0;p1;q0;q1;agebound;l0;l1;m0;m1;s0;s1
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;71.25;0;0;-0.272469256;-0.274641249;0.067789568;0.067617913
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;71.5;0;0;-0.274641249;-0.276805677;0.067617913;0.067444777
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;71.75;0;0;-0.276805677;-0.278962553;0.067444777;0.067270237
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;72;0;0;-0.278962553;-0.281111889;0.067270237;0.067094365
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;72.25;0;0;-0.281111889;-0.283253701;0.067094365;0.066917238
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;72.5;0;0;-0.283253701;-0.285388;0.066917238;0.066738925
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;72.75;0;0;-0.285388;-0.287514803;0.066738925;0.066559497
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;73;0;0;-0.287514803;-0.289634122;0.066559497;0.066379025
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;73.25;0;0;-0.289634122;-0.291745974;0.066379025;0.066197576
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;73.5;0;0;-0.291745974;-0.293850372;0.066197576;0.066015215
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;73.75;0;0;-0.293850372;-0.295947331;0.066015215;0.06583201
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;74;0;0;-0.295947331;-0.298036868;0.06583201;0.065648024
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;74.25;0;0;-0.298036868;-0.300118997;0.065648024;0.06546332
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;74.5;0;0;-0.300118997;-0.302193733;0.06546332;0.065277959
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;74.75;0;0;-0.302193733;-0.304261094;0.065277959;0.065092003
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;75;0;0;-0.304261094;-0.306321095;0.065092003;0.06490551
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;75.25;0;0;-0.306321095;-0.308373752;0.06490551;0.064718539
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;75.5;0;0;-0.308373752;-0.310419081;0.064718539;0.064531147
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;75.75;0;0;-0.310419081;-0.312457099;0.064531147;0.06434339
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;76;0;0;-0.312457099;-0.314487824;0.06434339;0.064155323
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;76.25;0;0;-0.314487824;-0.31651127;0.064155323;0.063967001
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;76.5;0;0;-0.31651127;-0.318527456;0.063967001;0.063778475
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;76.75;0;0;-0.318527456;-0.320536399;0.063778475;0.063589798
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;77;0;0;-0.320536399;-0.322538116;0.063589798;0.063401021
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;77.25;0;0;-0.322538116;-0.324532617;0.063401021;0.0632122
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;77.5;0;0;-0.324532617;-0.326519925;0.0632122;0.06302338
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;77.75;0;0;-0.326519925;-0.32850007;0.06302338;0.062834597
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;78;0;0;-0.32850007;-0.330473082;0.062834597;0.06264589
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;78.25;0;0;-0.330473082;-0.332438997;0.06264589;0.06245729
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;78.5;0;0;-0.332438997;-0.334397871;0.06245729;0.06226881
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;78.75;0;0;-0.334397871;-0.336349765;0.06226881;0.062080462
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;79;0;0;-0.336349765;-0.338294737;0.062080462;0.061892254
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;79.25;0;0;-0.338294737;-0.340232847;0.061892254;0.061704196
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;79.5;0;0;-0.340232847;-0.342164151;0.061704196;0.061516298
